"","ID","solidarity_behaviour","solidarity_attitude","treatment_video","c_0031_w1","c_0031_w2","c_0031_w3","c_0032_w1","c_0032_w2","vignette3","vignette4","vignette5","vignette6","vignette1","vignette2","vignette3_w4","vignette4_w4","conjoint_choice1_exp3","conjoint_rating1_exp3","conjoint_rating2_exp3","conjoint_choice2_exp3","conjoint_rating3_exp3","conjoint_rating4_exp3","conjoint_choice3_exp3","conjoint_rating5_exp3","conjoint_rating6_exp3","conjoint_choice1_exp7","conjoint_rating1_exp7","conjoint_rating2_exp7","conjoint_choice2_exp7","conjoint_rating3_exp7","conjoint_rating4_exp7"
"133",5294016741825,1,1,1,NA,105,NA,NA,190,87,50,18,9,NA,NA,NA,NA,2,5,5,1,5,5,1,5,5,NA,NA,NA,NA,NA,NA
"134",5294018086695,1,1,1,NA,182,NA,NA,87,175,95,86,155,NA,NA,NA,NA,1,10,7,1,10,8,2,6,10,NA,NA,NA,NA,NA,NA
"135",5294032537455,1,0,0,NA,94,NA,NA,161,11,30,192,82,NA,NA,NA,NA,1,6,5,1,5,5,2,5,5,NA,NA,NA,NA,NA,NA
"136",5294076074325,0,0,0,NA,187,NA,NA,114,147,181,17,160,NA,NA,NA,NA,2,4,7,2,2,7,2,2,7,NA,NA,NA,NA,NA,NA
"137",5294297555955,0.2,0,1,NA,117,NA,NA,94,76,114,179,191,NA,NA,NA,NA,1,3,3,2,3,3,1,3,3,NA,NA,NA,NA,NA,NA
"138",5294298914010,0,0,0,NA,183,NA,NA,80,146,8,95,134,NA,NA,NA,NA,1,7,4,1,6,3,1,7,4,NA,NA,NA,NA,NA,NA
"139",5294319983640,0.2,0,1,NA,179,NA,NA,151,180,168,128,104,NA,NA,NA,NA,2,0,5,2,0,6,2,1,6,NA,NA,NA,NA,NA,NA
"140",5294321249400,1,0,1,NA,74,NA,NA,71,129,27,92,79,NA,NA,NA,NA,1,9,9,2,9,9,2,9,9,NA,NA,NA,NA,NA,NA
"141",5294437369695,0,0,1,NA,188,NA,NA,62,163,140,171,191,NA,NA,NA,NA,2,1,1,1,2,1,2,0,0,NA,NA,NA,NA,NA,NA
"142",5294503294695,0,0,1,NA,162,NA,NA,52,51,170,139,137,NA,NA,NA,NA,2,5,8,1,6,3,1,9,2,NA,NA,NA,NA,NA,NA
"143",5294610000900,0.8,1,1,NA,182,NA,NA,175,159,20,176,71,NA,NA,NA,NA,1,6,5,1,9,7,1,10,6,NA,NA,NA,NA,NA,NA
"144",5294699724825,0.4,0,0,NA,58,NA,NA,76,27,73,65,168,NA,NA,NA,NA,2,5,5,1,5,5,1,5,5,NA,NA,NA,NA,NA,NA
"145",5294701043325,1,0,0,NA,86,NA,NA,164,28,112,55,153,NA,NA,NA,NA,2,5,10,2,3,7,2,2,8,NA,NA,NA,NA,NA,NA
"146",5294708967510,0,1,1,NA,1,NA,NA,170,84,54,42,191,NA,NA,NA,NA,2,3,8,1,8,3,1,7,4,NA,NA,NA,NA,NA,NA
